educ	sexo	edad	horastv	orgs	hijos	ing	newschan
20	Masculino	35	1	0	1	$30-40M	Si
12	Femenino	25	5	0	0	<$10M	No
14	Femenino	64	2	1	2	$40-50M	Si
9	Masculino	72	2	2	0	$20-30M	Si
12	Femenino	67	4	0	5	 	Si
15	Masculino	33	2	0	0	>$50M	Si
14	Masculino	23	4	0	1	$20-30M	No
14	Masculino	60	1	0	1	$40-50M	No
9	Masculino	77	4	0	2	 	Si
14	Femenino	52	2	1	2	$30-40M	Si
14	Femenino	37	5	2	1	$20-30M	No
16	Femenino	58	3	1	3	$20-30M	No
13	Masculino	49	1	0	1	$30-40M	Si
14	Masculino	22	1	4	0	<$10M	No
15	Femenino	37	3	1	3	$20-30M	No
12	Masculino	60	3	0	4	$10-20M	Si
13	Masculino	21	2	0	0	$10-20M	No
11	Masculino	64	4	1	Ocho o más	$40-50M	Si
18	Masculino	31	3	3	0	$30-40M	No
18	Masculino	39	5	0	2	$30-40M	Si
16	Masculino	35	0	0	0	$30-40M	No
13	Masculino	33	5	0	0	<$10M	No
11	Femenino	71	3	0	4	 	No
12	Femenino	37	9	1	Ocho o más	 	Si
14	Femenino	50	4	2	3	$20-30M	No
16	Masculino	39	1	0	2	>$50M	Si
12	Femenino	61	4	1	3	>$50M	No
16	Masculino	59	5	0	0	$40-50M	Si
18	Femenino	33	1	2	0	$10-20M	No
12	Masculino	23	0	0	1	$20-30M	No
11	Masculino	20	4	0	0	$10-20M	No
10	Femenino	36	8	2	2	<$10M	No
12	Femenino	35	1	1	3	<$10M	No
12	Femenino	24	3	0	0	$20-30M	No
10	Masculino	33	1	4	2	$40-50M	No
12	Masculino	71	2	2	Ocho o más	 	Si
14	Femenino	40	6	3	1	<$10M	Si
15	Masculino	35	10	0	4	$30-40M	Si
16	Masculino	25	3	3	0	$30-40M	Si
16	Femenino	42	1	4	4	$20-30M	Si
16	Femenino	29	3	2	0	$20-30M	No
19	Femenino	32	3	0	1	$30-40M	No
14	Femenino	50	2	0	3	$20-30M	No
12	Femenino	34	3	3	0	>$50M	No
12	Femenino	74	5	4	1	 	Si
11	Femenino	20	10	2	1	<$10M	Si
13	Masculino	40	5	2	3	>$50M	No
16	Femenino	35	2	0	2	<$10M	No
15	Masculino	43	3	4	2	<$10M	Si
12	Masculino	42	2	0	0	$30-40M	Si
10	Femenino	53	2	1	2	<$10M	Si
19	Masculino	38	3	2	0	$30-40M	No
13	Femenino	41	2	0	0	<$10M	Si
15	Masculino	41	1	2	1	$20-30M	No
