AGE	INCOME	GENDER	MARITAL	NUMKIDS	NUMCARDS	HOWPAID	MORTGAGE	STORECARDS	LOANS
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
34	59463	"m"	"married"	0	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
41	59276	"m"	"married"	1	2	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
38	58914	"m"	"married"	0	1	"monthly"	"y"	1	1
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
36	58878	"f"	"married"	1	1	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
