id_vuelo;aeropuerto_origen;aeropuerto_destino;hora_salida_programada;dia_semana;distancia_vuelo;condiciones_climaticas;congestion_aerea;congestion_aerea_num;tipo_avion;ocupacion_vuelo;temporada_alta;temporada_alta_bin;puerta_embarque;visibilidad;tiempo_estimado_vuelo;horas_sp;minutos_sp;tipo;demora;PRE_1;demora_predicha;filter_$;comprobacion
10005;MEX;PTY;8:15:00 a. m.;Viernes;2280;Niebla;Media;1,00;Boeing 757;48,7;VERDADERO;1,00;7;1,0;199;8;15;1;0,00;0,56018;1,00;0;0,00
10008;PTY;EZE;11:30:00 a. m.;Domingo;5100;Despejado;Baja;0,00;Airbus A330;92,0;VERDADERO;1,00;36;23,0;421;11;30;1;0,00;0,23836;0,00;0;1,00
10009;JFK;BOG;6:15:00 a. m.;Jueves;3930;Lluvia;Baja;0,00;Boeing 777;72,1;FALSO;0,00;24;14,3;319;6;15;1;0,00;0,23261;0,00;0;1,00
10010;CWB;GRU;6:30:00 a. m.;Jueves;410;Tormenta;Baja;0,00;Boeing 737;80,1;FALSO;0,00;2;1,6;69;6;30;1;0,00;0,47233;1,00;0;0,00
10011;GRU;BOG;8:15:00 a. m.;Sabado;3940;Nublado;Baja;0,00;Boeing 777;32,8;VERDADERO;1,00;30;7,1;333;8;15;1;0,00;0,21569;0,00;0;1,00
10012;LIM;PTY;7:00:00 a. m.;Jueves;2970;Despejado;Media;1,00;Boeing 737 MAX;66,8;FALSO;0,00;19;19,7;251;7;0;1;0,00;0,24294;0,00;0;1,00
10013;MEX;GRU;7:30:00 a. m.;Lunes;7300;Despejado;Baja;0,00;Airbus A350;51,6;VERDADERO;1,00;7;25,2;580;7;30;1;0,00;0,24049;0,00;0;1,00
10015;CWB;GRU;8:15:00 a. m.;Martes;410;Despejado;Baja;0,00;Boeing 737;70,3;FALSO;0,00;46;27,0;74;8;15;1;0,00;0,15506;0,00;0;1,00
10017;BRC;EZE;9:15:00 a. m.;Viernes;1650;Despejado;Media;1,00;Embraer E195;40,4;FALSO;0,00;24;28,2;157;9;15;1;0,00;0,24489;0,00;0;1,00
10021;BOG;BGA;9:45:00 a. m.;Martes;310;Lluvia;Baja;0,00;Embraer E190;67,1;FALSO;0,00;14;9,9;61;9;45;1;0,00;0,23009;0,00;0;1,00
10022;MIA;MDE;7:15:00 a. m.;Sabado;2750;Despejado;Baja;0,00;Embraer E195;55,5;FALSO;0,00;45;5,0;231;7;15;1;0,00;0,15483;0,00;0;1,00
10023;PTY;LIM;8:15:00 a. m.;Sabado;2970;Niebla;Media;1,00;Boeing 757;64,2;FALSO;0,00;36;1,8;255;8;15;1;0,00;0,44499;1,00;0;0,00
10024;BOG;BAQ;7:00:00 a. m.;Sabado;145;Despejado;Alta;2,00;Boeing 737;50,3;VERDADERO;1,00;43;13,0;40;7;0;1;0,00;0,46262;1,00;0;0,00
10025;MEX;PTY;5:15:00 a. m.;Lunes;2280;Nublado;Media;1,00;Boeing 757;80,1;FALSO;0,00;21;29,8;201;5;15;1;0,00;0,22911;0,00;0;1,00
