edad,cant_vuelos,clase_preferida,gasto_acumulado,gasto_acumulado_extra,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio
24,21,0,5731.62,1222.62,1,19113,1367,3
49,16,0,2593.4,510.7,0,0,6252,30
41,10,0,2850.62,627.01,0,0,1593,16
19,9,0,2749.41,540.22,0,0,862,47
31,16,0,5751.04,817.55,0,0,2927,26
57,26,0,6018.15,1195.78,0,0,3364,5
18,9,1,4683.23,1155.78,0,0,837,22
32,4,0,544.74,87.01,1,2032,1327,19
53,11,0,2492.66,530.39,0,0,2718,2
27,5,0,832.8,45.84,0,0,3106,6
29,7,0,1773.39,96.82,0,0,1968,65
36,7,1,3640.7,364.12,0,0,4097,38
55,21,0,5241.17,747.18,0,0,3712,8
30,21,0,1766.62,296.5,0,0,759,4
32,95,1,70152.57,9159.87,1,161409,15049,41
32,78,1,53839.55,6429.71,0,0,7524,6
64,13,1,8300.09,422.7,1,10794,1267,0
64,3,0,305,52.18,0,0,869,5
50,12,0,1491.04,297.09,0,0,2776,26
42,20,1,6017.06,596.36,0,0,598,22
46,23,0,5153.23,842.35,1,15278,1395,6
55,23,1,11064.99,638.53,0,0,857,34
26,2,0,395.85,50.22,0,0,1749,2
52,22,0,4749.13,804.78,0,0,1970,9
22,21,0,2176.83,321.59,0,0,1513,3
30,18,0,2180.32,308.4,0,0,3775,42
48,20,0,7644.36,586,0,0,3257,8
20,2,0,251.3,15.61,0,0,494,3
36,14,1,4183.1,981.62,0,0,7072,10
27,26,1,10719.25,2020.61,0,0,7005,4
34,9,1,6131.32,629.52,1,19952,2800,70
18,4,0,997.93,177.38,0,0,596,33
18,18,0,3103.49,773.57,0,0,1452,36
29,23,1,18636.81,1509.23,0,0,14587,5
49,19,0,2404.13,428.24,0,0,4119,33
35,24,0,5351.69,405.29,1,21250,789,7
38,21,2,28021.38,5583.65,0,0,5817,11
46,10,0,1773.42,420.51,0,0,5734,25
27,8,1,4640.04,371.23,0,0,1206,4
41,79,0,16785.48,827.14,0,0,300,10
28,29,0,8185.24,1845.9,1,22426,3287,9
18,7,0,980.37,215.13,0,0,537,23
33,51,0,15324.88,3265.73,0,0,1787,17
44,20,0,3913.34,805.45,0,0,1115,26
42,12,0,3025.56,654.49,1,10544,1296,46
37,29,1,15760.45,2142.15,0,0,7721,66
66,1,0,336.97,72.64,0,0,665,1
42,31,0,5335.98,1160.17,0,0,2645,0
49,19,0,4252.47,493.42,1,8631,3037,2
64,4,0,814.8,175.68,1,2977,1423,6
22,3,0,903.19,175.96,1,1268,300,16
25,3,0,843.18,77.76,0,0,2099,11
58,7,1,4105.45,788.6,0,0,848,2
28,4,1,1570.12,384.83,0,0,7496,10
38,18,0,2687.95,157.37,0,0,1583,5
48,24,0,4330.91,1043.35,1,19184,598,4
59,8,0,1003.63,148.45,1,5025,767,72
55,13,0,3185.48,605.45,0,0,6493,5
50,16,0,3721.98,640.35,0,0,3818,10
28,17,0,5859.79,403.43,0,0,3930,1
47,11,1,4752.24,450.18,1,18414,3770,88
41,7,0,1039.56,248.5,0,0,905,0
22,10,0,1821.39,452.9,1,2985,2297,5
55,54,1,26627.35,3962.04,1,55747,4600,12
47,27,0,3006.75,273.35,1,15694,5531,11
38,24,0,4170.22,1029.46,0,0,1288,28
35,20,0,2307.92,178.39,0,0,1391,4
40,16,2,31328.65,1444.7,1,49026,3834,9
43,14,1,8220.42,985.77,0,0,7129,11
28,93,0,16854.99,1602.34,1,82228,2853,25
51,55,0,8126.26,2003.56,1,31780,3792,6
24,4,0,570.28,137.79,0,0,1688,121
18,1,0,312.37,57.78,1,890,410,5
50,22,2,25836.81,1735.18,1,47170,8756,9
33,5,0,1037.73,210.45,0,0,5861,5
36,18,0,2760.17,361.35,0,0,2559,4
27,21,1,5836.41,1417.18,1,31567,3328,9
18,22,0,6257.97,932.53,1,6263,1935,2
53,18,0,5232.63,621.78,0,0,1298,9
29,3,0,960.91,171.27,0,0,1647,3
57,5,0,429.19,19.56,0,0,1003,7
47,22,0,2025.46,435.94,0,0,2140,9
34,8,1,5730.45,1232.5,1,17069,1560,2
24,20,0,1928.24,202.15,0,0,5180,22
29,3,0,772.73,160.9,0,0,1294,23
23,6,0,1195.53,260.04,0,0,1368,18
63,5,0,1487.04,88.63,0,0,851,7
39,5,0,1460.84,312.12,0,0,3279,75
51,15,0,2683.22,480.71,1,6734,4438,11
22,23,0,4381.67,626.71,0,0,2063,36
40,18,1,10086.38,2073.16,0,0,4424,26
52,18,1,6133.39,1430.16,0,0,4407,6
33,21,0,3576.1,761.09,0,0,1845,23
50,19,0,4981.01,1239.91,0,0,1162,18
24,8,0,759.94,102.33,0,0,2018,13
21,1,0,299.83,32.46,1,636,405,85
42,20,0,6502.52,950.27,1,14195,4389,0
33,4,1,1459.03,173.5,0,0,6123,15
45,18,0,3870.83,390.57,0,0,1886,28
18,4,0,1485.95,211.22,0,0,1514,0
69,3,0,377.66,65.64,0,0,602,32
37,10,0,1127.24,271.55,0,0,2917,9
38,8,1,2313.41,188.72,0,0,3805,0
40,15,0,3773.88,497.02,0,0,2408,72
18,2,0,518.6,63.37,0,0,1117,49
43,13,2,23082.27,4835.86,0,0,7414,10
18,12,0,1177.51,85.51,0,0,1801,1
32,10,1,4567.77,673.45,0,0,4674,62
52,17,1,10322.93,1746.4,0,0,3218,6
29,41,0,9715,1508.53,1,40554,2127,26
44,45,0,13591.32,651.26,1,44767,19986,34
50,21,0,3226.06,496.42,0,0,6089,8
41,51,0,16175.21,3754.51,1,22583,5207,24
21,7,0,1281.48,190.2,0,0,579,55
34,23,1,11090.68,1243.47,0,0,3818,14
61,25,2,60521.91,10501.72,0,0,6179,11
18,3,0,466.94,44.26,0,0,469,17
34,29,0,6443.64,333.39,1,26753,1731,18
31,1,0,282.64,57.57,0,0,1940,16
39,24,0,1861.38,83.41,1,17310,1233,16
46,16,1,3965.79,765.33,1,27013,1451,20
57,18,1,8479.91,1155.2,0,0,3630,3
34,72,0,15525.48,2553.2,0,0,4553,1
47,13,1,6426.1,978.66,0,0,4200,4
43,2,1,865.53,138.71,0,0,6073,18
43,1,0,291.66,15.4,0,0,3061,1
31,20,0,7426.65,1538.46,0,0,1770,16
26,11,0,3110.41,370.94,1,4177,2417,5
24,2,1,1075.62,212.81,0,0,5083,14
28,17,1,8847.57,1792.89,0,0,7285,41
41,20,0,5983.47,481.49,0,0,1772,45
47,44,1,25426.85,4455.65,1,61815,6486,13
41,77,0,24329.76,4820.64,0,0,1235,47
31,14,0,1797.04,388.29,0,0,778,14
59,21,0,6919.43,1579.9,0,0,1814,40
56,71,1,33055.92,3753.1,0,0,7745,0
33,3,0,724.39,67.05,0,0,2066,15
28,2,0,341.79,17.25,0,0,759,26
39,4,0,620.87,66.62,0,0,1408,50
53,40,2,47049.04,6333.05,0,0,10174,4
41,65,0,6289.78,883.76,1,61158,2642,16
44,1,0,345.54,61.72,0,0,1924,8
