id_vuelo,aeropuerto_origen,aeropuerto_destino,hora_salida_programada,dia_semana,distancia_vuelo,condiciones_climaticas,congestion_aerea,tipo_avion,ocupacion_vuelo,temporada_alta,puerta_embarque,visibilidad,tiempo_estimado_vuelo,demora
10002,GIG,GRU,09:30,Miercoles,360,Despejado,Baja,Boeing 737,52.8,FALSO,45,12.2,57,1
10003,TUC,EZE,11:00,Sabado,1230,Despejado,Alta,Embraer E195,54.4,VERDADERO,11,10.7,132,1
10005,MEX,PTY,08:15,Viernes,2280,Niebla,Media,Boeing 757,48.7,VERDADERO,7,1,199,0
10006,POA,GRU,06:45,Martes,1110,Despejado,Baja,Airbus A320neo,68,FALSO,15,15.8,109,1
10008,PTY,EZE,11:30,Domingo,5100,Despejado,Baja,Airbus A330,92,VERDADERO,36,23,421,0
10009,JFK,BOG,06:15,Jueves,3930,Lluvia,Baja,Boeing 777,72.1,FALSO,24,14.3,319,0
10010,CWB,GRU,06:30,Jueves,410,Tormenta,Baja,Boeing 737,80.1,FALSO,2,1.6,69,0
10011,GRU,BOG,08:15,Sabado,3940,Nublado,Baja,Boeing 777,32.8,VERDADERO,30,7.1,333,0
10012,LIM,PTY,07:00,Jueves,2970,Despejado,Media,Boeing 737 MAX,66.8,FALSO,19,19.7,251,0
10013,MEX,GRU,07:30,Lunes,7300,Despejado,Baja,Airbus A350,51.6,VERDADERO,7,25.2,580,0
10014,EZE,BOG,08:30,Domingo,4650,Lluvia,Alta,Boeing 777,62.8,FALSO,48,19.3,374,1
10015,CWB,GRU,08:15,Martes,410,Despejado,Baja,Boeing 737,70.3,FALSO,46,27,74,0
10016,PTY,GUA,11:45,Miercoles,820,Niebla,Alta,Boeing 737 MAX,73.2,FALSO,29,1.7,83,1
10017,BRC,EZE,09:15,Viernes,1650,Despejado,Media,Embraer E195,40.4,FALSO,24,28.2,157,0
10019,UIO,BOG,08:45,Martes,730,Nublado,Baja,ATR 72,62.6,VERDADERO,21,18.6,93,1
10021,BOG,BGA,09:45,Martes,310,Lluvia,Baja,Embraer E190,67.1,FALSO,14,9.9,61,0
10022,MIA,MDE,07:15,Sabado,2750,Despejado,Baja,Embraer E195,55.5,FALSO,45,5,231,0
10023,PTY,LIM,08:15,Sabado,2970,Niebla,Media,Boeing 757,64.2,FALSO,36,1.8,255,0
10024,BOG,BAQ,07:00,Sabado,145,Despejado,Alta,Boeing 737,50.3,VERDADERO,43,13,40,0
10025,MEX,PTY,05:15,Lunes,2280,Nublado,Media,Boeing 757,80.1,FALSO,21,29.8,201,0
